index, name, driver_version, compute_cap, memory.total [MiB], memory.used [MiB], memory.free [MiB]
0, NVIDIA GeForce RTX 3090, 580.159.03, 8.6, 24576 MiB, 1 MiB, 24124 MiB
1, NVIDIA GeForce RTX 3090, 580.159.03, 8.6, 24576 MiB, 1 MiB, 24124 MiB
2, NVIDIA GeForce RTX 3090, 580.159.03, 8.6, 24576 MiB, 1 MiB, 24124 MiB
3, NVIDIA GeForce RTX 3090, 580.159.03, 8.6, 24576 MiB, 1 MiB, 24124 MiB
4, NVIDIA GeForce RTX 3090, 580.159.03, 8.6, 24576 MiB, 8408 MiB, 15717 MiB
5, NVIDIA GeForce RTX 3090, 580.159.03, 8.6, 24576 MiB, 10696 MiB, 13429 MiB
6, NVIDIA GeForce RTX 3090, 580.159.03, 8.6, 24576 MiB, 8396 MiB, 15729 MiB
